CAPA,NOME,DESC,AUTOR,NP,EDITORA,ANO,GÊNERO
https://a-static.mlcdn.com.br/800x560/livro-1984-george-orwell/magazineluiza/231307900/995af0bbe8b5843a15f74d89ff7e84e3.jpg,1984 – George Orwell,"Um romance distópico que descreve um regime totalitário que usa vigilância, censura e manipulação da verdade para controlar a população.",George Orwell,328,Penguin Random House,1951,Informática
https://a-static.mlcdn.com.br/800x560/livro-o-senhor-dos-aneis-a-sociedade-do-anel/magazineluiza/223950800/dad0b5966ee0fd828dbab0761c6bd967.jpg,O Senhor dos Anéis: A Sociedade do Anel – J.R.R. Tolkien,O primeiro livro da trilogia épica sobre a jornada de Frodo Bolseiro para destruir um anel mágico e impedir que um senhor das trevas conquiste o mundo.,J.R.R. Tolkien,423,HarperCollins,1994,Joalheria
https://www.lpm.com.br/livros/imagens/dom_casmurro_nova_9788525406798_hd.jpg,Dom Casmurro,Um romance psicológico e introspectivo sobre Bentinho e sua obsessão pela fidelidade de sua esposa Capitu.,Machado de Assis,304,Simon & Schuster,1925,Contabilidade
https://a-static.mlcdn.com.br/800x560/livro-o-pequeno-principe/authenticlivros/1143155/e99e6074512150cbec4a89679c4c4231.jpg,O Pequeno Príncipe,"Uma fábula poética sobre um jovem príncipe de um pequeno planeta que encontra um aviador perdido no deserto e compartilha lições de vida sobre amizade, amor e perda.",Antoine de Saint-Exupéry,96,Hachette Livre,1936,Administração
https://a-static.mlcdn.com.br/1500x1500/livro-cem-anos-de-solidao-edicao-especial/magazineluiza/222667700/cc4b5dc458f014f4a9fbc5ea18faf87f.jpg,Cem Anos de Solidão,"Uma obra-prima do realismo mágico, que narra a história da família Buendía ao longo de várias gerações na cidade fictícia de Macondo.",Gabriel García Márquez,448,Macmillan Publishers,1945,Informática
https://www.lpm.com.br/livros/imagens/grande_gatsby_9788525425300_9788525422156_hd.jpg,O Grande Gatsby,"A história de Jay Gatsby, um milionário misterioso e obcecado por Daisy Buchanan, em uma crítica à sociedade americana dos anos 1920.",F. Scott Fitzgerald,180,Bloomsbury,1954,Joalheria
https://m.media-amazon.com/images/I/71w4-2z6JeL._SY466_.jpg,A Revolução dos Bichos,"Uma fábula política onde os animais de uma fazenda se rebelam contra seus donos humanos, mas acabam criando uma tirania semelhante à que tentaram derrubar.",George Orwell,128,Pearson,1960,Contabilidade
https://m.media-amazon.com/images/I/517F6PcVI0L._SX342_SY445_.jpg,Moby Dick,"A narrativa épica sobre a obsessão do capitão Ahab em caçar a baleia branca Moby Dick, um dos maiores desafios da literatura americana.",Herman Melville,635,Scholastic,1967,Administração
https://m.media-amazon.com/images/I/51wIrkFrYEL._SY445_SX342_.jpg,A Metamorfose,"Um conto sobre Gregor Samsa, que acorda transformado em um inseto gigante, e sua luta com a alienação e a perda da humanidade.",Franz Kafka,144,Companhia das Letras,1984,Informática
https://m.media-amazon.com/images/I/5193mgpULoL._SY445_SX342_.jpg,O Apanhador no Campo de Centeio,"A história de Holden Caulfield, um adolescente rebelde e perturbado, que narra suas experiências e reflexões sobre a vida e a sociedade.", J.D. Salinger,277,Editora Record,1997,Joalheria
